name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost
albot r.,Clay,2021,1,5,0,1,4,12
albot r.,Clay,2023,1,3,0,0,3,8
albot r.,Grass,2022,1,4,1,0,4,9
albot r.,Hard,2021,5,8,2,2,15,21
albot r.,Hard,2022,8,6,1,1,21,16
albot r.,Hard,2023,4,5,1,1,9,11
alcaraz c.,Clay,2021,8,5,5,1,20,14
alcaraz c.,Clay,2022,26,4,6,3,59,21
alcaraz c.,Clay,2023,25,3,0,3,57,13
alcaraz c.,Grass,2021,1,1,0,0,3,5
alcaraz c.,Grass,2022,3,1,0,1,10,5
alcaraz c.,Grass,2023,5,0,0,0,10,1
alcaraz c.,Hard,2021,17,10,10,3,42,31
alcaraz c.,Hard,2022,25,6,5,4,63,22
alcaraz c.,Hard,2023,9,1,0,1,19,2
altmaier d.,Clay,2021,5,6,5,0,14,15
altmaier d.,Clay,2022,1,6,0,4,5,14
altmaier d.,Clay,2023,6,5,2,1,17,14
altmaier d.,Grass,2022,2,4,2,2,4,10
altmaier d.,Hard,2021,1,1,1,0,2,2
altmaier d.,Hard,2022,2,11,0,6,9,25
altmaier d.,Hard,2023,1,5,0,0,5,11
arnaldi m.,Clay,2023,5,4,4,0,13,12
auger-aliassime f.,Clay,2021,4,6,2,5,10,15
auger-aliassime f.,Clay,2022,11,7,0,4,29,20
auger-aliassime f.,Clay,2023,1,3,0,3,4,7
auger-aliassime f.,Grass,2021,9,3,3,2,23,11
auger-aliassime f.,Grass,2022,4,4,0,4,11,10
auger-aliassime f.,Hard,2021,22,13,2,9,56,37
auger-aliassime f.,Hard,2022,36,12,4,8,82,38
auger-aliassime f.,Hard,2023,12,7,0,5,28,22
baez s.,Clay,2021,1,1,1,1,2,2
baez s.,Clay,2022,20,12,6,6,48,35
baez s.,Clay,2023,14,10,0,7,33,25
baez s.,Grass,2022,2,2,0,2,6,5
baez s.,Grass,2023,1,1,0,0,2,2
baez s.,Hard,2022,3,11,1,6,8,26
baez s.,Hard,2023,1,5,0,4,3,11
barrere g.,Clay,2022,1,2,1,0,4,7
barrere g.,Clay,2023,5,5,2,1,14,13
barrere g.,Grass,2023,4,3,3,0,9,8
barrere g.,Hard,2021,1,3,1,0,3,6
barrere g.,Hard,2022,1,1,1,0,2,2
barrere g.,Hard,2023,7,7,5,2,16,18
bautista agut r.,Clay,2021,7,7,0,5,19,16
bautista agut r.,Clay,2022,5,3,0,3,12,7
bautista agut r.,Clay,2023,4,6,0,3,12,15
bautista agut r.,Grass,2021,4,3,0,3,11,10
bautista agut r.,Grass,2022,5,2,1,0,12,5
bautista agut r.,Grass,2023,3,1,1,0,6,2
bautista agut r.,Hard,2021,16,13,4,12,44,33
bautista agut r.,Hard,2022,18,13,1,11,44,32
bautista agut r.,Hard,2023,8,8,1,7,23,24
berrettini m.,Clay,2021,13,4,0,1,31,14
berrettini m.,Clay,2022,4,2,0,1,10,6
berrettini m.,Clay,2023,2,0,0,0,4,1
berrettini m.,Grass,2021,11,1,0,0,29,7
berrettini m.,Grass,2022,9,0,0,0,18,4
berrettini m.,Hard,2021,13,5,0,4,35,18
berrettini m.,Hard,2022,14,7,0,5,41,28
berrettini m.,Hard,2023,1,3,0,3,5,7
bonzi b.,Clay,2022,1,3,0,0,2,7
bonzi b.,Clay,2023,2,1,1,1,4,2
bonzi b.,Grass,2021,1,1,0,0,4,5
bonzi b.,Grass,2022,7,4,1,0,17,10
bonzi b.,Hard,2021,1,3,1,1,5,6
bonzi b.,Hard,2022,11,14,3,3,31,33
bonzi b.,Hard,2023,10,6,6,3,24,18
borges n.,Clay,2021,1,1,1,0,3,2
borges n.,Clay,2023,3,5,2,2,7,13
borges n.,Hard,2022,3,3,1,1,9,10
borges n.,Hard,2023,2,4,0,0,5,10
broady l.,Grass,2021,2,3,2,0,6,7
broady l.,Grass,2022,2,3,1,0,8,11
broady l.,Grass,2023,1,2,0,0,3,4
broady l.,Hard,2021,1,2,1,0,3,4
broady l.,Hard,2022,3,4,2,0,8,10
broady l.,Hard,2023,1,1,0,0,2,3
brouwer g.,Clay,2022,2,1,2,0,4,2
brouwer g.,Clay,2023,3,2,3,0,6,4
brouwer g.,Hard,2022,1,1,1,0,4,3
brouwer g.,Hard,2023,2,2,1,0,4,5
bublik a.,Clay,2021,4,6,2,3,10,15
bublik a.,Clay,2022,2,5,0,3,8,12
bublik a.,Clay,2023,3,6,1,1,11,15
bublik a.,Grass,2021,7,4,1,2,17,11
bublik a.,Grass,2022,8,5,1,1,20,13
bublik a.,Grass,2023,5,1,4,0,10,4
bublik a.,Hard,2021,22,16,5,9,54,43
bublik a.,Hard,2022,18,14,3,8,42,38
bublik a.,Hard,2023,3,8,1,5,9,19
cachin p.,Clay,2022,1,2,1,1,4,6
cachin p.,Clay,2023,8,10,2,4,23,24
cachin p.,Hard,2022,4,4,1,2,13,14
cachin p.,Hard,2023,1,5,0,2,2,11
carballes baena r.,Clay,2021,8,8,4,3,18,19
carballes baena r.,Clay,2022,7,9,2,2,19,22
carballes baena r.,Clay,2023,10,9,5,3,26,25
carballes baena r.,Grass,2023,1,2,0,1,2,5
carballes baena r.,Hard,2021,3,5,2,0,9,14
carballes baena r.,Hard,2022,4,8,3,2,12,20
carballes baena r.,Hard,2023,1,4,1,1,3,9
cecchinato m.,Clay,2021,13,13,8,3,36,32
cecchinato m.,Clay,2022,4,6,2,0,10,16
cecchinato m.,Clay,2023,9,6,6,2,20,16
cecchinato m.,Hard,2021,2,7,0,4,7,17
cecchinato m.,Hard,2023,1,1,1,0,2,2
cerundolo f.,Clay,2021,5,6,5,0,12,17
cerundolo f.,Clay,2022,14,7,9,2,29,22
cerundolo f.,Clay,2023,15,9,4,4,40,28
cerundolo f.,Grass,2022,1,3,0,1,5,7
cerundolo f.,Grass,2023,5,1,2,1,10,5
cerundolo f.,Hard,2022,6,10,3,4,17,24
cerundolo f.,Hard,2023,6,3,1,0,15,10
chardy j.,Clay,2021,4,6,2,0,9,16
chardy j.,Grass,2021,1,3,1,2,5,7
chardy j.,Hard,2021,11,8,10,1,26,25
chardy j.,Hard,2023,1,1,1,0,3,4
coria f.,Clay,2021,12,8,5,5,26,23
coria f.,Clay,2022,12,12,6,5,28,33
coria f.,Clay,2023,2,3,1,1,6,8
coria f.,Hard,2021,3,8,2,3,8,20
coria f.,Hard,2022,2,5,1,0,6,12
coric b.,Clay,2022,3,4,3,0,10,11
coric b.,Clay,2023,9,5,1,3,21,17
coric b.,Hard,2021,6,3,0,3,14,7
coric b.,Hard,2022,13,7,9,2,30,21
coric b.,Hard,2023,2,5,0,4,5,12
couacaud e.,Clay,2021,1,2,1,0,5,5
couacaud e.,Hard,2023,1,1,1,0,4,3
cressy m.,Clay,2022,1,5,1,1,5,11
cressy m.,Grass,2021,2,1,1,0,4,3
cressy m.,Grass,2022,9,4,5,2,23,14
cressy m.,Grass,2023,1,3,0,1,3,6
cressy m.,Hard,2021,4,5,4,0,12,15
cressy m.,Hard,2022,16,17,7,7,41,43
cressy m.,Hard,2023,7,8,3,4,18,21
daniel t.,Clay,2021,3,4,3,1,10,11
daniel t.,Clay,2022,2,2,2,1,6,7
daniel t.,Clay,2023,1,2,1,0,5,5
daniel t.,Hard,2021,2,6,1,2,5,15
daniel t.,Hard,2022,10,14,7,1,27,32
daniel t.,Hard,2023,6,5,5,0,14,14
davidovich fokina a.,Clay,2021,13,5,5,0,32,18
davidovich fokina a.,Clay,2022,11,8,4,4,27,21
davidovich fokina a.,Clay,2023,8,6,1,1,19,15
davidovich fokina a.,Grass,2021,1,1,0,1,4,3
davidovich fokina a.,Grass,2022,3,2,3,1,9,8
davidovich fokina a.,Hard,2021,11,14,3,7,28,35
davidovich fokina a.,Hard,2022,7,15,1,3,26,37
davidovich fokina a.,Hard,2023,10,8,1,2,25,20
de minaur a.,Clay,2021,3,5,0,3,8,12
de minaur a.,Clay,2022,7,6,1,2,18,17
de minaur a.,Clay,2023,4,5,0,4,10,12
de minaur a.,Grass,2021,8,3,0,2,18,11
de minaur a.,Grass,2022,7,4,1,3,21,11
de minaur a.,Grass,2023,5,2,1,1,11,6
de minaur a.,Hard,2021,11,14,2,11,31,32
de minaur a.,Hard,2022,22,13,3,5,54,35
de minaur a.,Hard,2023,11,5,2,4,27,15
dellien h.,Clay,2021,1,2,1,0,3,5
dellien h.,Clay,2022,4,9,1,2,13,19
dellien h.,Clay,2023,5,7,3,0,12,17
dimitrov g.,Clay,2021,3,4,0,3,7,8
dimitrov g.,Clay,2022,9,5,3,1,22,14
dimitrov g.,Clay,2023,10,5,0,1,24,14
dimitrov g.,Grass,2021,1,1,0,1,3,4
dimitrov g.,Grass,2022,1,1,1,1,2,3
dimitrov g.,Grass,2023,2,1,1,0,4,2
dimitrov g.,Hard,2021,18,11,6,6,43,30
dimitrov g.,Hard,2022,15,14,3,11,36,35
dimitrov g.,Hard,2023,7,4,2,1,17,11
djere l.,Clay,2021,13,10,4,4,32,30
djere l.,Clay,2022,10,10,1,5,26,23
djere l.,Clay,2023,6,8,2,2,16,18
djere l.,Grass,2021,1,2,0,0,5,6
djere l.,Grass,2023,2,2,0,0,6,4
djere l.,Hard,2021,9,13,2,6,24,32
djere l.,Hard,2022,8,11,2,2,20,29
djere l.,Hard,2023,5,5,3,2,12,14
djokovic n.,Clay,2021,17,3,0,3,42,13
djokovic n.,Clay,2022,14,4,0,4,36,12
djokovic n.,Clay,2023,12,3,1,3,33,10
djokovic n.,Grass,2021,7,0,0,0,21,2
djokovic n.,Grass,2022,7,0,0,0,21,6
djokovic n.,Hard,2021,20,2,0,2,54,19
djokovic n.,Hard,2022,19,2,6,2,39,6
djokovic n.,Hard,2023,15,1,1,1,37,5
etcheverry t.,Clay,2021,1,1,1,0,3,2
etcheverry t.,Clay,2022,1,8,0,3,3,18
etcheverry t.,Clay,2023,16,9,8,2,40,23
etcheverry t.,Hard,2022,2,5,1,3,6,13
etcheverry t.,Hard,2023,2,4,0,1,7,10
eubanks c.,Clay,2023,1,2,0,0,3,5
eubanks c.,Grass,2022,1,1,1,0,2,2
eubanks c.,Grass,2023,5,2,2,0,11,7
eubanks c.,Hard,2021,1,4,1,0,4,9
eubanks c.,Hard,2022,3,5,3,1,8,13
eubanks c.,Hard,2023,6,6,5,2,16,16
evans d.,Clay,2021,6,5,4,3,14,15
evans d.,Clay,2022,4,7,1,5,10,16
evans d.,Clay,2023,5,6,1,5,13,14
evans d.,Grass,2021,4,2,0,1,11,5
evans d.,Grass,2022,1,3,0,2,2,7
evans d.,Hard,2021,13,15,2,11,38,39
evans d.,Hard,2022,20,16,4,7,51,40
evans d.,Hard,2023,2,5,0,4,7,12
fils a.,Clay,2023,4,2,1,0,9,7
fils a.,Hard,2023,5,2,5,0,10,4
fritz t.,Clay,2021,2,4,1,2,7,9
fritz t.,Clay,2022,5,3,0,3,14,11
fritz t.,Clay,2023,11,6,1,4,28,17
fritz t.,Grass,2021,2,1,0,0,7,6
fritz t.,Grass,2022,8,3,0,2,23,9
fritz t.,Grass,2023,2,3,0,3,4,6
fritz t.,Hard,2021,30,17,9,10,71,50
fritz t.,Hard,2022,27,11,6,7,67,37
fritz t.,Hard,2023,16,5,1,4,38,16
fucsovics m.,Clay,2021,3,5,0,1,8,11
fucsovics m.,Clay,2022,4,3,2,0,11,8
fucsovics m.,Clay,2023,4,6,2,1,11,15
fucsovics m.,Grass,2021,4,3,3,1,12,12
fucsovics m.,Grass,2022,2,1,1,0,4,5
fucsovics m.,Grass,2023,3,1,3,0,6,4
fucsovics m.,Hard,2021,18,15,10,5,47,44
fucsovics m.,Hard,2022,6,12,3,5,20,28
fucsovics m.,Hard,2023,7,4,5,0,19,14
gasquet r.,Clay,2021,9,7,1,4,21,18
gasquet r.,Clay,2022,9,7,3,2,22,17
gasquet r.,Clay,2023,2,7,0,5,8,15
gasquet r.,Grass,2021,1,1,0,0,3,4
gasquet r.,Grass,2022,2,1,2,0,7,6
gasquet r.,Grass,2023,2,3,1,1,5,7
gasquet r.,Hard,2021,4,7,2,2,9,15
gasquet r.,Hard,2022,12,10,8,3,31,28
gasquet r.,Hard,2023,8,6,3,4,18,19
giron m.,Clay,2021,2,4,2,1,8,11
giron m.,Clay,2022,2,7,2,2,7,16
giron m.,Clay,2023,7,6,2,2,19,16
giron m.,Grass,2021,3,2,2,0,7,8
giron m.,Grass,2022,3,4,3,1,10,11
giron m.,Hard,2021,16,13,8,2,38,34
giron m.,Hard,2022,12,17,5,9,29,40
giron m.,Hard,2023,8,8,1,3,20,20
goffin d.,Clay,2021,5,4,1,4,11,10
goffin d.,Clay,2022,12,5,8,0,27,16
goffin d.,Clay,2023,3,6,0,0,9,15
goffin d.,Grass,2022,4,2,2,0,14,8
goffin d.,Hard,2021,9,9,1,9,22,24
goffin d.,Hard,2022,7,17,2,9,21,38
goffin d.,Hard,2023,3,2,1,2,7,4
gojo b.,Clay,2022,1,1,1,0,4,5
gojo b.,Hard,2022,1,2,1,0,3,5
griekspoor t.,Clay,2021,1,1,0,0,2,3
griekspoor t.,Clay,2022,4,6,3,3,13,15
griekspoor t.,Clay,2023,3,4,0,3,11,12
griekspoor t.,Grass,2022,5,4,2,1,13,11
griekspoor t.,Grass,2023,7,1,2,0,15,6
griekspoor t.,Hard,2021,3,3,3,0,9,11
griekspoor t.,Hard,2022,5,12,4,5,18,28
griekspoor t.,Hard,2023,12,5,5,0,27,15
halys q.,Clay,2023,4,4,2,1,13,10
halys q.,Grass,2022,2,3,2,0,8,8
halys q.,Hard,2022,1,7,1,3,6,15
halys q.,Hard,2023,8,9,4,3,19,21
harris l.,Clay,2021,2,3,2,1,6,8
harris l.,Clay,2022,2,5,1,3,6,11
harris l.,Grass,2021,4,4,1,1,9,9
harris l.,Grass,2023,3,2,3,0,7,4
harris l.,Hard,2021,22,14,9,4,56,42
harris l.,Hard,2022,4,7,1,5,10,17
harris l.,Hard,2023,1,1,1,0,4,5
humbert u.,Clay,2021,1,6,0,4,4,14
humbert u.,Clay,2022,2,5,0,1,8,11
humbert u.,Clay,2023,1,5,0,2,5,11
humbert u.,Grass,2021,8,2,3,1,18,10
humbert u.,Grass,2022,3,5,2,1,11,15
humbert u.,Grass,2023,1,2,0,2,3,4
humbert u.,Hard,2021,7,10,1,7,22,25
humbert u.,Hard,2022,3,9,1,4,11,21
humbert u.,Hard,2023,4,4,3,1,11,10
hurkacz h.,Clay,2021,1,3,0,3,5,8
hurkacz h.,Clay,2022,9,4,0,2,23,12
hurkacz h.,Clay,2023,5,5,0,4,16,18
hurkacz h.,Grass,2021,5,3,2,2,16,9
hurkacz h.,Grass,2022,5,2,2,2,13,7
hurkacz h.,Grass,2023,3,2,0,2,8,6
hurkacz h.,Hard,2021,29,15,5,9,70,38
hurkacz h.,Hard,2022,24,14,3,11,57,40
hurkacz h.,Hard,2023,12,5,0,4,30,20
isner j.,Clay,2021,5,2,2,0,14,7
isner j.,Clay,2022,7,4,0,1,19,14
isner j.,Grass,2022,4,2,0,1,11,9
isner j.,Hard,2021,18,7,5,4,39,23
isner j.,Hard,2022,11,9,3,5,29,25
isner j.,Hard,2023,4,6,0,5,12,14
ivashka i.,Clay,2021,5,3,2,0,11,8
ivashka i.,Clay,2022,5,7,3,2,16,19
ivashka i.,Clay,2023,3,6,1,2,8,15
ivashka i.,Grass,2021,5,4,4,1,14,11
ivashka i.,Grass,2022,4,3,0,0,8,8
ivashka i.,Hard,2021,19,8,8,3,44,21
ivashka i.,Hard,2022,13,11,5,4,36,31
ivashka i.,Hard,2023,2,6,0,1,7,13
jarry n.,Clay,2021,1,2,1,0,3,5
jarry n.,Clay,2022,2,5,1,0,6,11
jarry n.,Clay,2023,18,7,9,3,42,23
jarry n.,Grass,2023,2,2,1,1,5,4
jarry n.,Hard,2022,1,3,0,0,3,7
jarry n.,Hard,2023,1,1,1,0,3,3
karatsev a.,Clay,2021,9,6,3,3,22,16
karatsev a.,Clay,2022,5,9,1,6,15,22
karatsev a.,Clay,2023,7,4,6,0,18,12
karatsev a.,Grass,2021,1,2,0,2,2,6
karatsev a.,Grass,2022,1,2,0,0,4,5
karatsev a.,Grass,2023,1,2,0,0,3,5
karatsev a.,Hard,2021,23,11,11,8,58,35
karatsev a.,Hard,2022,10,18,0,12,33,43
karatsev a.,Hard,2023,3,4,0,1,7,9
kecmanovic m.,Clay,2021,5,8,1,3,14,20
kecmanovic m.,Clay,2022,13,8,3,4,33,19
kecmanovic m.,Clay,2023,7,7,0,4,18,15
kecmanovic m.,Grass,2021,1,2,0,0,6,6
kecmanovic m.,Grass,2022,2,3,0,2,6,9
kecmanovic m.,Grass,2023,2,3,0,2,4,6
kecmanovic m.,Hard,2021,7,14,0,6,23,32
kecmanovic m.,Hard,2022,21,12,11,2,49,36
kecmanovic m.,Hard,2023,7,8,0,4,18,20
koepfer d.,Clay,2021,8,9,3,3,21,25
koepfer d.,Grass,2021,2,3,1,1,8,9
koepfer d.,Hard,2021,9,11,4,3,23,29
koepfer d.,Hard,2022,3,6,1,1,10,16
korda s.,Clay,2021,6,4,3,3,14,9
korda s.,Clay,2022,8,6,4,3,19,14
korda s.,Clay,2023,1,3,0,3,3,7
korda s.,Grass,2021,5,2,3,0,16,8
korda s.,Grass,2022,1,2,0,1,3,4
korda s.,Grass,2023,3,1,3,0,6,2
korda s.,Hard,2021,16,10,12,2,33,26
korda s.,Hard,2022,24,14,10,5,61,40
korda s.,Hard,2023,7,1,4,0,19,5
krajinovic f.,Clay,2021,10,9,1,4,24,24
krajinovic f.,Clay,2022,6,6,4,2,14,15
krajinovic f.,Grass,2022,5,2,2,1,11,9
krajinovic f.,Hard,2021,8,12,0,4,22,29
krajinovic f.,Hard,2022,6,8,1,2,14,20
krajinovic f.,Hard,2023,3,6,0,1,7,16
kubler j.,Clay,2022,1,1,1,0,3,3
kubler j.,Clay,2023,5,5,0,1,11,14
